,FIRE_YEAR,STATE,NWCG_REPORTING_AGENCY,Count
0,1992,AK,BIA,4
1,1992,AK,BLM,153
2,1992,AK,FS,27
3,1992,AK,FWS,4
4,1992,AK,ST/C&L,292
5,1992,AL,FS,80
6,1992,AL,FWS,1
7,1992,AL,NPS,12
8,1992,AR,FS,107
9,1992,AR,FWS,9
10,1992,AR,NPS,12
11,1992,AZ,BIA,1584
12,1992,AZ,BLM,195
13,1992,AZ,FS,1115
14,1992,AZ,FWS,12
15,1992,AZ,NPS,107
16,1992,AZ,ST/C&L,481
17,1992,CA,BIA,264
18,1992,CA,BLM,455
19,1992,CA,FS,3093
20,1992,CA,FWS,48
21,1992,CA,NPS,270
22,1992,CA,ST/C&L,6701
23,1992,CO,BIA,34
24,1992,CO,BLM,522
25,1992,CO,FS,288
26,1992,CO,FWS,4
27,1992,CO,NPS,51
28,1992,CO,ST/C&L,422
29,1992,CT,ST/C&L,202
30,1992,DC,NPS,3
31,1992,DE,FWS,3
32,1992,FL,BIA,16
33,1992,FL,FS,131
34,1992,FL,FWS,62
35,1992,FL,NPS,136
36,1992,FL,ST/C&L,3877
37,1992,GA,FS,70
38,1992,GA,FWS,11
39,1992,GA,NPS,1
40,1992,GA,ST/C&L,6376
41,1992,HI,NPS,36
42,1992,HI,ST/C&L,41
43,1992,IA,BIA,1
44,1992,IA,FWS,4
45,1992,ID,BIA,6
46,1992,ID,BLM,304
47,1992,ID,FS,1429
48,1992,ID,FWS,9
49,1992,ID,NPS,1
50,1992,ID,ST/C&L,440
51,1992,ID,TRIBE,6
52,1992,IL,FS,9
53,1992,IL,FWS,9
54,1992,IN,FS,14
55,1992,IN,NPS,81
56,1992,KS,FS,7
57,1992,KS,FWS,8
58,1992,KS,NPS,1
59,1992,KY,FS,47
60,1992,KY,NPS,2
61,1992,LA,FS,60
62,1992,LA,FWS,27
63,1992,MA,NPS,7
64,1992,MD,FWS,9
65,1992,MD,NPS,3
66,1992,ME,NPS,1
67,1992,ME,ST/C&L,610
68,1992,MI,BIA,1
69,1992,MI,FS,72
70,1992,MI,FWS,3
71,1992,MI,NPS,4
72,1992,MI,ST/C&L,534
73,1992,MN,BIA,193
74,1992,MN,FS,87
75,1992,MN,FWS,15
76,1992,MN,NPS,12
77,1992,MN,ST/C&L,1313
78,1992,MO,FS,154
79,1992,MO,NPS,7
80,1992,MO,ST/C&L,1519
81,1992,MS,FS,200
82,1992,MS,FWS,18
83,1992,MS,NPS,14
84,1992,MS,ST/C&L,4246
85,1992,MT,BIA,507
86,1992,MT,BLM,71
87,1992,MT,FS,641
88,1992,MT,FWS,12
89,1992,MT,NPS,17
90,1992,MT,ST/C&L,392
91,1992,NC,BIA,21
92,1992,NC,FS,91
93,1992,NC,FWS,11
94,1992,NC,NPS,9
95,1992,NC,ST/C&L,5564
96,1992,ND,BIA,373
97,1992,ND,FS,9
98,1992,ND,FWS,12
99,1992,ND,NPS,2
100,1992,NE,BIA,12
101,1992,NE,FS,1
102,1992,NE,FWS,10
103,1992,NE,NPS,2
104,1992,NH,ST/C&L,107
105,1992,NJ,FWS,2
106,1992,NJ,NPS,2
107,1992,NJ,ST/C&L,1321
108,1992,NM,BIA,310
109,1992,NM,BLM,126
110,1992,NM,FS,397
111,1992,NM,NPS,27
112,1992,NM,ST/C&L,117
113,1992,NV,BIA,4
114,1992,NV,BLM,381
115,1992,NV,FS,148
116,1992,NV,FWS,6
117,1992,NV,NPS,14
118,1992,NV,TRIBE,3
119,1992,NY,FWS,17
120,1992,NY,NPS,66
121,1992,NY,ST/C&L,281
122,1992,OH,FS,21
123,1992,OK,BIA,15
124,1992,OK,FS,33
125,1992,OK,FWS,7
126,1992,OK,NPS,12
127,1992,OK,ST/C&L,1401
128,1992,OR,BIA,127
129,1992,OR,BLM,635
130,1992,OR,FS,1806
131,1992,OR,FWS,12
132,1992,OR,NPS,30
133,1992,OR,ST/C&L,1344
134,1992,OR,TRIBE,2
135,1992,PA,FS,1
136,1992,PA,FWS,2
137,1992,PA,NPS,14
138,1992,PR,FWS,4
139,1992,SC,FS,47
140,1992,SC,FWS,9
141,1992,SC,NPS,3
142,1992,SC,ST/C&L,5136
143,1992,SD,BIA,425
144,1992,SD,BLM,5
145,1992,SD,FS,86
146,1992,SD,FWS,5
147,1992,SD,NPS,4
148,1992,SD,ST/C&L,29
149,1992,TN,FS,40
150,1992,TN,NPS,15
151,1992,TX,FS,62
152,1992,TX,FWS,30
153,1992,TX,NPS,38
