,FIRE_YEAR,NWCG_GENERAL_CAUSE,STATE,Count
0,1992,Arson/incendiarism,AK,21
1,1992,Arson/incendiarism,AL,68
2,1992,Arson/incendiarism,AR,78
3,1992,Arson/incendiarism,AZ,331
4,1992,Arson/incendiarism,CA,1151
5,1992,Arson/incendiarism,CO,84
6,1992,Arson/incendiarism,CT,69
7,1992,Arson/incendiarism,DC,2
8,1992,Arson/incendiarism,DE,3
9,1992,Arson/incendiarism,FL,176
10,1992,Arson/incendiarism,GA,1841
11,1992,Arson/incendiarism,HI,1
12,1992,Arson/incendiarism,IA,3
13,1992,Arson/incendiarism,ID,36
14,1992,Arson/incendiarism,IL,4
15,1992,Arson/incendiarism,IN,17
16,1992,Arson/incendiarism,KY,29
17,1992,Arson/incendiarism,LA,48
18,1992,Arson/incendiarism,MA,1
19,1992,Arson/incendiarism,MD,10
20,1992,Arson/incendiarism,ME,126
21,1992,Arson/incendiarism,MI,91
22,1992,Arson/incendiarism,MN,324
23,1992,Arson/incendiarism,MO,527
24,1992,Arson/incendiarism,MS,2981
25,1992,Arson/incendiarism,MT,18
26,1992,Arson/incendiarism,NC,1235
27,1992,Arson/incendiarism,ND,65
28,1992,Arson/incendiarism,NE,1
29,1992,Arson/incendiarism,NH,7
30,1992,Arson/incendiarism,NJ,663
31,1992,Arson/incendiarism,NM,48
32,1992,Arson/incendiarism,NV,33
33,1992,Arson/incendiarism,NY,71
34,1992,Arson/incendiarism,OH,5
35,1992,Arson/incendiarism,OK,35
36,1992,Arson/incendiarism,OR,135
37,1992,Arson/incendiarism,PA,3
38,1992,Arson/incendiarism,PR,4
39,1992,Arson/incendiarism,SC,27
40,1992,Arson/incendiarism,SD,39
41,1992,Arson/incendiarism,TN,33
42,1992,Arson/incendiarism,TX,361
43,1992,Arson/incendiarism,UT,12
44,1992,Arson/incendiarism,VA,11
45,1992,Arson/incendiarism,WA,83
46,1992,Arson/incendiarism,WI,128
47,1992,Arson/incendiarism,WV,209
48,1992,Arson/incendiarism,WY,2
49,1992,Debris and open burning,AK,99
50,1992,Debris and open burning,AL,8
51,1992,Debris and open burning,AR,16
52,1992,Debris and open burning,AZ,302
53,1992,Debris and open burning,CA,690
54,1992,Debris and open burning,CO,45
55,1992,Debris and open burning,CT,28
56,1992,Debris and open burning,FL,219
57,1992,Debris and open burning,GA,2927
58,1992,Debris and open burning,HI,3
59,1992,Debris and open burning,ID,116
60,1992,Debris and open burning,IL,5
61,1992,Debris and open burning,IN,15
62,1992,Debris and open burning,KS,5
63,1992,Debris and open burning,KY,10
64,1992,Debris and open burning,LA,14
65,1992,Debris and open burning,ME,192
66,1992,Debris and open burning,MI,208
67,1992,Debris and open burning,MN,660
68,1992,Debris and open burning,MO,909
69,1992,Debris and open burning,MS,1144
70,1992,Debris and open burning,MT,232
71,1992,Debris and open burning,NC,2310
72,1992,Debris and open burning,ND,103
73,1992,Debris and open burning,NE,9
74,1992,Debris and open burning,NH,31
75,1992,Debris and open burning,NJ,67
76,1992,Debris and open burning,NM,183
77,1992,Debris and open burning,NV,31
78,1992,Debris and open burning,NY,113
79,1992,Debris and open burning,OH,10
80,1992,Debris and open burning,OK,12
81,1992,Debris and open burning,OR,303
82,1992,Debris and open burning,PA,1
83,1992,Debris and open burning,SC,12
84,1992,Debris and open burning,SD,121
85,1992,Debris and open burning,TN,9
86,1992,Debris and open burning,TX,579
87,1992,Debris and open burning,UT,30
88,1992,Debris and open burning,VA,9
89,1992,Debris and open burning,WA,374
90,1992,Debris and open burning,WI,336
91,1992,Debris and open burning,WV,256
92,1992,Debris and open burning,WY,46
93,1992,Equipment and vehicle use,AK,12
94,1992,Equipment and vehicle use,AR,5
95,1992,Equipment and vehicle use,AZ,112
96,1992,Equipment and vehicle use,CA,2322
97,1992,Equipment and vehicle use,CO,19
98,1992,Equipment and vehicle use,CT,3
99,1992,Equipment and vehicle use,FL,937
100,1992,Equipment and vehicle use,GA,535
101,1992,Equipment and vehicle use,ID,84
102,1992,Equipment and vehicle use,IL,1
103,1992,Equipment and vehicle use,IN,1
104,1992,Equipment and vehicle use,KS,3
105,1992,Equipment and vehicle use,KY,1
106,1992,Equipment and vehicle use,LA,1
107,1992,Equipment and vehicle use,MA,1
108,1992,Equipment and vehicle use,ME,70
109,1992,Equipment and vehicle use,MI,64
110,1992,Equipment and vehicle use,MN,102
111,1992,Equipment and vehicle use,MO,32
112,1992,Equipment and vehicle use,MS,52
113,1992,Equipment and vehicle use,MT,24
114,1992,Equipment and vehicle use,NC,383
115,1992,Equipment and vehicle use,ND,20
116,1992,Equipment and vehicle use,NE,4
117,1992,Equipment and vehicle use,NH,4
118,1992,Equipment and vehicle use,NJ,46
119,1992,Equipment and vehicle use,NM,21
120,1992,Equipment and vehicle use,NV,21
121,1992,Equipment and vehicle use,NY,14
122,1992,Equipment and vehicle use,OH,1
123,1992,Equipment and vehicle use,OK,5
124,1992,Equipment and vehicle use,OR,154
125,1992,Equipment and vehicle use,PA,1
126,1992,Equipment and vehicle use,SC,1
127,1992,Equipment and vehicle use,SD,76
128,1992,Equipment and vehicle use,TN,1
129,1992,Equipment and vehicle use,TX,46
130,1992,Equipment and vehicle use,UT,14
131,1992,Equipment and vehicle use,VA,1
132,1992,Equipment and vehicle use,WA,81
133,1992,Equipment and vehicle use,WI,295
134,1992,Equipment and vehicle use,WV,56
135,1992,Equipment and vehicle use,WY,11
136,1992,Firearms and explosives use,AK,1
137,1992,Fireworks,AK,22
138,1992,Fireworks,AL,1
139,1992,Fireworks,AZ,9
140,1992,Fireworks,CA,13
141,1992,Fireworks,CO,2
142,1992,Fireworks,ID,7
143,1992,Fireworks,IN,5
144,1992,Fireworks,MN,1
145,1992,Fireworks,MS,2
146,1992,Fireworks,MT,43
147,1992,Fireworks,NC,1
148,1992,Fireworks,ND,8
149,1992,Fireworks,NM,5
150,1992,Fireworks,NV,2
151,1992,Fireworks,NY,1
152,1992,Fireworks,OR,30
