,FIRE_YEAR,STATE,FIRE_SIZE
0,1992,AK,142717.3
1,1992,AL,1253.2
2,1992,AR,1478.5
3,1992,AZ,42593.65
4,1992,CA,296439.6
5,1992,CO,7451.4
6,1992,CT,466.05
7,1992,DC,0.4
8,1992,DE,124.0
9,1992,FL,95279.7
10,1992,GA,27013.35
11,1992,HI,11161.3
12,1992,IA,85.3
13,1992,ID,684658.9
14,1992,IL,235.4
15,1992,IN,247.3
16,1992,KS,251.6
17,1992,KY,604.5
18,1992,LA,25129.1
19,1992,MA,5.4
20,1992,MD,1160.3
21,1992,ME,4399.3
22,1992,MI,2987.4
23,1992,MN,30182.13
24,1992,MO,28716.0
25,1992,MS,60830.1
26,1992,MT,38561.71
27,1992,NC,27489.1
28,1992,ND,6373.9
29,1992,NE,1227.1
30,1992,NH,164.671
31,1992,NJ,16603.65
32,1992,NM,99202.45
33,1992,NV,92345.8
34,1992,NY,2334.4
35,1992,OH,101.7
36,1992,OK,47575.1
37,1992,OR,117437.26
38,1992,PA,59.7
39,1992,PR,127.0
40,1992,SC,31202.8
41,1992,SD,59412.28
42,1992,TN,429.6
43,1992,TX,33610.3
44,1992,UT,37531.91
45,1992,VA,434.6
46,1992,VT,270.0
47,1992,WA,89681.05
48,1992,WI,2519.07
49,1992,WV,7514.4
50,1992,WY,22241.8
51,1993,AK,687191.1
52,1993,AL,2336.8
53,1993,AR,1760.2
54,1993,AZ,205566.37
55,1993,CA,321494.9
56,1993,CO,35555.299999999996
57,1993,CT,401.1
58,1993,DC,9.8
59,1993,DE,1.0
60,1993,FL,79755.2
61,1993,GA,40515.590000000004
62,1993,HI,2562.0
63,1993,IA,30.7
64,1993,ID,7978.2
65,1993,IL,29.8
66,1993,IN,464.3
67,1993,KS,1809.3
68,1993,KY,843.1
69,1993,LA,8066.8
70,1993,MA,1.5
71,1993,MD,1672.9
72,1993,ME,1413.15
73,1993,MI,1008.0
74,1993,MN,19087.71
75,1993,MO,14993.3
76,1993,MS,54108.3
77,1993,MT,12598.41
78,1993,NC,26461.2
79,1993,ND,3923.9
80,1993,NE,173.5
81,1993,NH,166.663
82,1993,NJ,922.7
83,1993,NM,302329.04
84,1993,NV,53979.9
85,1993,NY,1126.3
86,1993,OH,42.7
87,1993,OK,69717.4
88,1993,OR,13843.28
89,1993,PA,40.8
90,1993,PR,163.0
91,1993,SC,34284.7
92,1993,SD,6133.3
93,1993,TN,866.4
94,1993,TX,116873.7
95,1993,UT,19887.47
96,1993,VA,564.0
97,1993,VT,3.0
98,1993,WA,22629.0
99,1993,WI,1442.97
100,1993,WV,9433.8
101,1993,WY,5323.450000000001
102,1994,AK,261964.69999999998
103,1994,AL,34664.4
104,1994,AR,2303.9
105,1994,AZ,224199.73500000002
106,1994,CA,406965.4
107,1994,CO,70760.6
108,1994,CT,943.15
109,1994,DC,5.1000000000000005
110,1994,DE,96.0
111,1994,FL,103085.4
112,1994,GA,25013.89
113,1994,HI,78.6
114,1994,IA,105.4
115,1994,ID,729029.6
116,1994,IL,383.7
117,1994,IN,577.9
118,1994,KS,84460.1
119,1994,KY,4660.6
120,1994,LA,2520.6
121,1994,MA,0.1
122,1994,MD,786.9
123,1994,ME,2012.69
124,1994,MI,6704.2
125,1994,MN,37150.32
126,1994,MO,36249.4
127,1994,MS,54453.5
128,1994,MT,265609.83
129,1994,NC,44936.2
130,1994,ND,11743.3
131,1994,NE,6869.5
132,1994,NH,207.234
133,1994,NJ,2725.85
134,1994,NM,416646.72
135,1994,NV,196057.8
136,1994,NY,1154.6
137,1994,OH,125.7
138,1994,OK,75155.4
139,1994,OR,276054.32
140,1994,PA,66.5
141,1994,PR,1000.0
142,1994,RI,25.0
143,1994,SC,30354.1
144,1994,SD,16520.05
145,1994,TN,3300.2
146,1994,TX,70917.5
147,1994,UT,213555.1
148,1994,VA,1205.5
149,1994,VT,25.3
150,1994,WA,271438.0
151,1994,WI,5241.76
152,1994,WV,50906.8
153,1994,WY,64564.2
154,1995,AK,43961.6
155,1995,AL,38896.6
156,1995,AR,5190.4
157,1995,AZ,262152.58
158,1995,CA,216068.7
159,1995,CO,20043.7
160,1995,CT,427.4
161,1995,DC,0.6000000000000001
162,1995,DE,2014.4
163,1995,FL,56682.7
164,1995,GA,24456.91
165,1995,HI,1027.5
166,1995,IA,57.4
167,1995,ID,268681.2
168,1995,IL,993.2
169,1995,IN,881.4
170,1995,KS,4537.9
171,1995,KY,5863.6
172,1995,LA,7277.9
173,1995,MA,8.7
174,1995,MD,1304.4
